,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
12827,9.4,48.84,51.68,56.12,15.12,16.16,16.41,1.52335,13.01,8.07,1797.09
12835,8.35,50.38,54.46,57.61,13.35,14.9,14.82,1.52766,14.54,12.1,1797.48
12836,8.35,48.72,52.61,55.98,13.05,14.61,14.33,1.52653,14.97,12.89,1798.27
12837,8.38,47.48,51.08,54.22,13.3,15.02,14.66,1.52577,14.44,12.08,1797.37
12838,8.22,47.06,50.85,53.86,13.42,14.97,14.78,1.52582,14.12,11.46,1797.74
12839,8.16,47,50.55,53.38,13.68,15.39,14.93,1.52555,14.21,11.49,1797.57
12840,8.17,46.61,49.98,52.8,12.93,14.62,14.05,1.52602,15.37,13.59,1797.69
12846,7.82,42.99,46.24,48.51,13.28,15.13,14.93,1.52613,14.89,12.64,1797.27
12847,7.09,43.05,46.3,48.5,12.98,14.38,14.19,1.52588,15.07,12.89,1797.79
12848,6.72,43.56,46.8,49.49,13.33,14.73,14.62,1.52628,15.15,12.59,1798.26
12849,6.51,43.24,46.45,48.62,12.93,14.41,14.23,1.52591,15.52,13.55,1797.62
12853,6.15,43.28,46.3,48.06,13.17,14.55,14.34,1.52612,15.74,13.75,1797.57
12855,6.16,42.99,45.85,47.86,13.08,14.44,14.29,1.52613,15.66,14.2,1797.5
12856,6.09,43.05,46.04,47.99,13.32,14.66,14.48,1.52628,14.85,12.75,1797.35
12857,5.96,43.65,46.63,48.55,14.2,15.8,15.38,1.52554,14.18,10.55,1797.16
12858,5.87,43.93,46.95,49.21,13.48,14.98,14.6,1.52603,15.21,12.74,1797.74
12860,5.03,40.76,42.54,45.62,11.97,12.24,12.62,1.11151,14.11,28.35,1360.91
12861,5.59,42.38,43.91,47.08,14.64,15,15.44,1.52741,13.82,10.06,1797.72
12862,5.35,43.02,44.14,47.19,14.23,14.69,15,1.52597,14.57,11.69,1797.57
12863,4.94,43.16,44.26,47.67,13.85,14.46,14.75,1.52613,14.85,11.93,1798.03
12864,4.49,43.26,44.2,47.39,14.22,14.82,14.82,1.52551,14.7,11.72,1797.29
12866,3.93,46.83,48.2,51.48,15.96,17.05,16.99,1.52628,13.19,8.06,1797.96
12867,3.73,46.74,47.99,51.01,14.99,15.88,15.54,1.5261,14.19,10.64,1797.72
12868,3.6,46.76,47.95,50.8,15.41,16.22,15.96,1.52605,13.99,9.83,1797.2
12869,3.47,46.98,48.46,51.18,15.82,16.66,16.41,1.52599,13.58,8.51,1797.34
12871,3.16,47.68,49.94,52.6,15.24,16.24,15.77,1.52634,13.78,9.8,1798.03
12872,3,47.8,50.21,52.5,15.78,16.79,16.26,1.52459,13.41,9.09,1797.53
12873,2.91,47.85,50.22,52.54,15.3,16.33,15.82,1.52678,13.54,9.53,1797.5
12887,2.32,50.45,54.18,55.25,14.56,15.22,14.46,1.52605,14.33,11.33,1797.78
12888,2.28,49.94,52.72,53.73,14.74,15.16,14.58,1.52638,14.4,11.09,1798.41
12889,2.27,48.08,50.16,51.77,12.89,13.07,12.61,1.52628,15.99,14.1,1798.72
12898,2.59,36.92,38.37,40.46,15.95,17.17,16.82,1.50741,15.26,7.04,1796.74
12899,3.17,39.1,41.76,43.46,16.07,17.58,16.88,1.50675,15.13,6.59,1798.19
12900,3.22,40.92,44.02,45.29,16.68,18.03,17.29,1.48604,13.83,2.95,1796.77
12901,3.08,42.29,45.56,46.6,16.04,17.39,16.74,1.44368,13.5,1.18,1797.76
12902,2.97,42.99,46.13,47.06,15.34,16.63,15.95,1.52529,14.55,7.22,1798.32
12903,2.9,43.05,46.1,46.94,15.04,16.48,15.47,1.52689,14.91,9.06,1797.7
12904,2.9,44.04,47.82,47.88,16.75,18.65,17.3,1.51929,13.68,5.11,1797.2
12905,3,45.74,50.16,49.78,16.85,18.54,17.59,1.48012,13.37,2.85,1797.24
14761,17.19,52.77,50.02,60.06,12.62,12.76,15.26,1.52531,13.21,8.59,1797.64
14847,5.66,53.2,58.12,64.11,14.61,16.45,16.53,1.53001,13.84,10.22,1797.42
15003,3.72,47.22,53.4,56.57,15.73,17.67,17.23,1.51748,13.05,7.56,1797.38
15007,3.48,47.27,53.7,56.16,15.8,18.01,17.47,1.53151,13.05,7.53,1797.61
15119,0.23,44.08,49.89,52.76,16.32,18.32,18.06,1.52753,13.01,7.73,1797.52
