,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
46885,14.58,43,38.27,43.28,16.45,15.03,16.08,1.50081,13.05,4.82,1797.26
47066,13.1,53.91,53.8,58.62,18.7,18.62,19.64,1.49845,13.25,1.35,1797.48
47067,13.11,55.81,55.63,60.06,16.44,17.51,18.78,1.52474,14.42,4.6,1797.56
47068,13.26,53.42,55.44,62.73,15.2,17.64,20.95,1.52509,15.14,6.61,1797.46
47069,13.3,54.95,57.35,65.69,16.72,19,21.75,1.52215,14.71,5.13,1797.15
47080,11.9,61.66,61.57,78.67,17.54,16.39,21.24,1.52382,13.03,5.71,1797.11
49564,-0.47,42.09,43.81,53.63,17.02,17.66,19.68,1.42027,13.24,3.14,1796.99
49826,-6.74,31.03,36.25,41.43,14.02,16.13,16.79,1.43582,14.07,9.08,1797.83
49827,-6.86,32.02,37.33,42.98,15.18,17.38,17.97,1.42864,13.36,6.55,1798.09
49828,-6.77,31.06,36.77,41.27,14.36,16.62,16.6,1.43557,14.33,7.92,1797.16
49829,-6.67,31.41,37.66,42.08,14.78,17.41,17.33,1.42714,14.42,6.77,1797.99
49830,-6.55,32.29,39.2,43.1,15.74,18.69,18.21,1.43048,13.35,4.91,1797.42
49844,-8.78,36.75,43.62,45.85,17.85,20.7,20,1.42295,13.12,3.05,1797.84
50625,-4.54,39.97,37.22,41.04,15.78,14.76,15.6,1.43508,13.84,7.01,1797.38
50626,-4.5,39.87,37,40.85,16.03,14.85,15.43,1.43585,13.13,6.75,1798.32
50629,-4.89,40.79,36.63,41,15.78,13.75,14.77,1.43593,13.83,8.33,1797.44
50630,-4.66,40.44,36.04,40.61,16.14,13.88,15.14,1.4369,13.64,7.94,1797.87
50631,-4.59,40.95,36.43,41.06,17.05,15.17,16.21,1.43101,13.08,5.67,1797.54
50641,-5.72,41.5,36.84,41.95,16.03,14.9,15.56,1.43701,13.17,6.85,1797.97
52354,-5.06,35.4,33.98,39.92,14.86,15.04,15.79,1.43408,13.04,6.28,1797.25
52370,-4.15,37.02,37.24,43.01,14.86,15.3,16.17,1.41184,13.57,6.01,1796.24
52373,-4.05,37.9,38.06,44.08,15.51,16.07,16.89,1.42642,13.28,4.4,1797.18
52375,-4.36,38.05,38.67,44.42,14.98,15.43,16,1.43448,13.63,5.84,1797.51
52380,-5.37,40.22,39.55,46.43,15.46,15.04,16.16,1.43417,13.83,6.44,1796.97
52381,-5.44,39.9,39.07,45.82,15.86,15.69,16.67,1.434,13.17,4.78,1797.08
52493,-8.55,31.27,30.71,36.45,13.25,13.79,14.48,1.43739,14.56,9.79,1797.19
52494,-7.84,30.58,30.6,36.07,13.28,14.31,14.82,1.43597,14.78,9.83,1796.12
52495,-7.28,30.34,30.82,36.1,13.56,14.56,15.18,1.43636,15.51,9.65,1795.65
52496,-7.08,30.58,31.1,36.54,13.81,14.93,15.26,1.43536,14.8,9.3,1794.96
52497,-6.94,30.56,31.59,36.56,13.93,15.01,15.47,1.43376,14.73,8.5,1794.97
52498,-6.91,30.97,32.29,36.88,14.61,15.15,15.6,1.43077,14.02,7.75,1796.04
52499,-7.03,31,31.98,36.94,13.61,14.06,14.68,1.43543,14.47,8.97,1796.31
52500,-6.88,31.05,32,36.95,14.38,14.71,15.67,1.42062,13.31,6.62,1796.63
52501,-6.97,30.99,32.24,36.95,13.52,14.38,14.75,1.434,14.06,8.92,1796.3
52502,-6.92,31.27,32.68,37.23,13.85,14.29,14.8,1.43542,13.89,8.26,1796.86
52503,-6.76,31.01,32.48,36.86,13.8,14.57,14.71,1.4355,13.74,8.76,1796.58
52504,-6.8,31.52,32.96,37.05,14.43,14.5,15.52,1.43573,13.98,7.66,1796.96
52505,-6.39,32.29,33.12,37.57,14.27,15.04,15.65,1.42666,14.8,7.5,1797.18
52507,-6.61,33.63,35.03,39.77,15.04,15.38,15.97,1.4129,13.11,5.22,1797.44
52508,-6.18,33.59,34.84,39.16,15.72,15.89,16.38,1.43301,13.3,5.22,1796.81
52509,-6.1,34.4,35.72,39.96,15.97,15.97,16.45,1.4351,13.98,4.85,1797.51
52512,-6.71,35.36,35.56,40.03,15.79,15.62,16.12,1.43043,13.26,4.72,1796.49
55224,-10.38,23.57,23.84,25.83,15.72,15.84,16.36,1.43331,13.23,5.42,1796.95
55225,-9.86,24.01,24.03,26.55,14.98,14.96,15.81,1.43733,13.22,6.58,1797.65
57325,-7.31,39.81,46.75,47.77,16.78,17.99,19.5,1.43479,13.02,4.02,1797.84
57371,-12.79,32.73,32.46,40.22,14.41,14.84,16.13,1.43636,13.46,7.7,1796.02
57372,-12.29,31.37,31.54,39.1,13.7,14.41,15.21,1.43537,14.98,9.37,1796.18
57373,-12.02,32.01,31.96,39.46,14.58,15.13,15.91,1.33129,13.19,5.62,1793.2
57374,-12.19,31.35,31.76,38.38,12.24,12.27,13.23,0.94791,14.23,29.56,1296.97
57455,-13.84,34.87,30.9,36.86,18.22,16.73,17.78,1.44423,13.49,4.16,1797.04
57456,-13.73,35.97,31.27,37.26,18.31,16.75,18.01,1.44412,13.39,4.04,1797.28
57548,-11.46,30.46,30.21,37.07,14.58,14.51,15.75,1.44334,13.21,7.26,1796.33
57549,-10.91,29.98,29.34,36.2,13.82,13.58,15.02,1.44361,14.01,9.08,1796.74
57550,-10.74,30.02,29.36,36.33,14.98,14.43,16.11,1.44395,13.05,7.15,1796.72
58312,7.95,43.96,45.04,47.85,16.07,16.98,16.92,1.44082,13.74,5.52,1797.38
58314,7.92,45,46.24,49.2,15.18,16.09,16.05,1.42233,14,5.69,1797.83
58597,0.02,34.35,35.51,38.34,16.09,16.46,17.58,1.4248,13.05,3.23,1796.78
58599,0.02,36.24,35.88,40.32,15.12,14.67,16.01,1.42705,13.09,6.04,1797.39
58601,0.02,37.38,37.27,42.39,15.68,15.41,16.38,1.4133,13.12,4.1,1798.31
58705,-8.76,36.2,38,42.44,15.23,16.11,16.27,1.4406,13.04,7.19,1796.34
58706,-8.59,35.97,37.81,41.65,15.06,16.55,16.26,1.44495,13.93,7.23,1796.42
58707,-8.14,35.12,37.35,40.8,14.79,15.8,15.93,1.44392,14.64,8.34,1796.1
58708,-7.92,34.31,36.56,40.12,13.62,14.26,14.5,1.44451,15.55,10.4,1796.22
58709,-7.7,33.86,35.78,39.15,15.02,14.68,15.39,1.44456,14.48,8.21,1796.22
58710,-7.63,34.84,35.92,39.71,14.76,14.84,15.32,1.44036,14.62,8.3,1796.09
58711,-7.36,33.96,36.28,39.21,15.05,16.39,15.95,1.43575,13.62,6.59,1795.88
58712,-7.22,34.1,36.49,39.44,15.03,15.62,15.72,1.44495,13.34,6.69,1796.56
58726,-4.73,38.34,37.39,43.15,17.38,16.16,17.36,1.43039,13.38,4.36,1795.95
58728,-4.55,39.65,37.59,43.72,16.35,15.61,16.51,1.44378,13.56,5.99,1796.32
58729,-4.49,38.23,37.02,42.92,15.17,14.94,15.7,1.44475,13.86,8.33,1796.64
58730,-4.28,37.45,36.38,41.49,14.5,14.16,14.89,1.44475,14.3,8.52,1796.18
58731,-4.23,37.39,36.77,41.21,15.93,15.96,16.35,1.44404,13.91,6.59,1796.23
58733,-3.95,38.37,38.48,43.2,16.52,16.69,17.4,1.40756,13.01,3.99,1796.36
58754,-4.25,38.36,39.08,44.76,17.53,17.66,18.66,1.43723,13.17,4.45,1796.3
59582,6.56,44.56,45.8,56.67,15.8,15.26,17.74,1.37455,13.77,3.72,1797.07
59583,6.56,45.5,44.95,56.65,16.12,14.94,17.85,1.44081,14.29,5.83,1796.86
59584,6.5,45.97,44.55,56.24,15.74,14.89,17.49,1.442,14.25,5.48,1796.28
59585,6.51,46.31,44.72,56.42,15.43,14.34,17.27,1.445,14.15,6.25,1796.71
59587,6.43,47.07,44.35,56.2,15.82,14.35,16.78,1.41304,13.35,3.37,1797.06
59593,6,47.64,43.77,53.14,14.75,14.07,15.09,1.41231,14.73,5.42,1796.3
59594,6.15,47.73,44.21,53.34,15.35,14.78,16.2,1.41383,13.76,4.42,1796.52
59595,5.92,47.55,44.08,53.08,14.55,13.91,15.16,1.42436,14.31,5.21,1797.24
59596,5.89,47.68,44.07,52.96,15.28,14.05,15.31,1.41192,13.63,4.94,1796.37
59597,5.81,47.37,43.36,51.28,15.12,13.55,14.58,1.44361,15.31,7.15,1796.21
59599,5.46,49.57,44.07,52.1,15.78,14.15,15.31,1.42768,14.35,5.22,1796.71
59600,5.5,49.31,44.4,51.62,15.47,14.3,15.34,1.32426,13.17,3.35,1794.72
60873,-1.13,43.28,40.66,44.67,15.71,15.2,16,1.43913,13.7,5.05,1796.15
60874,-1.19,42.65,40,44.08,14.12,13.58,14.3,1.44089,14.71,8.03,1796.89
60875,-1.2,41.24,39.09,43.49,14.08,13.65,14.32,1.44097,14.34,7.22,1796.98
60876,-1.24,40.91,37.97,42.98,14.14,13.1,14.1,1.44107,14.83,8.41,1796.98
60877,-1.3,40.29,37.4,42.77,13.58,12.88,13.87,1.44011,15.44,8.54,1796.89
60881,-1.36,36.99,35.9,40.01,12.67,12.93,13.69,1.44065,15.7,9.21,1796.8
60882,-1.76,37.07,36.6,40.64,13.78,14.37,14.67,1.44115,14.32,6.75,1796.48
60883,-2.08,37.06,36.69,40.58,13.12,13.28,13.57,1.44051,15.17,9.01,1797.07
60886,-2.33,36.95,35.21,38.58,16.01,14.34,14.72,1.44069,13.27,5.65,1796.54
60887,-2.82,38.2,36.01,39.84,15.5,13.47,14.09,1.44074,13.39,6.34,1796.88
60889,-3.19,40.71,36.62,40.35,16.25,14.12,14.64,1.44068,13.19,5.91,1796.72
60890,-3.2,40.91,36.5,40.41,16.45,14.02,14.68,1.43943,13.79,6.73,1796.89
60891,-3.15,42.46,36.95,40.96,17.64,14.93,15.58,1.43976,13.18,5.06,1796.79
62291,11.35,43.99,39.49,45.63,13.93,11.19,13,0.8844,14.32,26.77,1316.98
62515,11.04,47.62,47.58,49.51,16.97,17.2,16.59,1.44211,13.15,1.9,1797.16
62516,11.37,48.05,47.89,50.06,15.73,15.93,15.71,1.44145,13.94,4.87,1796.67
63359,5.1,40.66,37.61,44.01,14.2,13.65,14.79,1.39424,14.18,4.49,1797.23
63361,4.57,39.4,37.22,43.43,13.22,13.38,14.1,1.43907,14.65,8.4,1795.65
63362,4.2,40.42,38.05,44.08,14.01,14.02,14.76,1.44014,14.36,6.11,1796.71
63363,4.26,41.21,39.8,45.58,14.8,14.68,15.25,1.43873,13.88,5.06,1796.77
63364,4.16,41.9,40.06,46.03,14.18,13.97,14.6,1.43966,14.72,7.09,1796.32
63365,4.12,43.01,40.9,46.75,14.93,15.01,15.24,1.43321,13.69,4.79,1796.64
63366,3.95,43.78,41.44,47.05,15.19,14.58,15.22,1.42347,13.24,5.15,1796.35
63367,3.74,43.95,40.82,46.97,14.31,12.75,14.05,1.43857,14.61,8.46,1796.14
63368,3.56,43.86,40.23,46.79,14.46,12.78,14.26,1.4393,14.21,8.11,1795.86
63369,3.46,44,40.29,46.98,14.22,12.88,14.4,1.43915,14.6,8.34,1796.42
63370,3.4,44.05,40.09,46.99,14.31,12.46,14.2,1.43941,15.1,8.77,1796.19
63371,3.45,44.03,40.14,46.98,13.98,12.98,13.98,1.43996,15.48,8.82,1796.8
63372,3.58,44.02,40.22,46.77,14.11,13.22,13.87,1.43911,15.14,8.62,1796.17
63373,3.28,45.6,41.57,47.15,15.82,14.8,15.11,1.43947,13.19,5.54,1796.48
63374,3.26,45.99,42,47.07,14.74,14.14,14.32,1.44014,14.24,6.95,1796.93
63375,3.31,46.08,42.15,47.06,14.74,13.62,14,1.43942,15.01,7.7,1796.34
63376,3.3,45.99,41.95,47.01,14.77,13.8,14.35,1.43925,14.58,7.09,1796.35
63377,3.09,46.05,42.63,47.13,14.98,14.6,14.81,1.43985,13.46,6.02,1796.34
63378,2.91,46.03,43.14,47.37,14.34,14.54,14.62,1.43959,14.55,7.18,1796.64
63379,2.89,46.02,43.01,47.21,14.41,13.41,13.92,1.4409,15.03,8.38,1797.38
63388,2.8,40.84,39.94,43.83,13.04,13.3,13.69,1.4388,15.36,9.06,1795.58
63422,4.87,15.53,15.29,19.04,13.08,14.41,14.65,1.42915,15.61,7.83,1795.17
63423,5.29,17.76,17.95,21.41,12.29,13.63,13.97,1.44034,15.83,9.33,1795.92
63430,6.4,27.43,30.64,33.26,12.26,14.95,13.9,1.41864,14.88,7.49,1796.16
63431,6.27,29.42,33.05,35.21,13.41,15.42,14.84,1.43422,13.69,6.05,1796.4
63432,6.39,30.07,33.91,36.35,12.48,14.13,13.79,1.44007,15.94,9.25,1796.66
63433,6.75,30.75,34.37,36.8,12.59,14.33,13.69,1.44047,15.93,9.22,1796.22
63436,7.12,33.1,37.11,37.95,13.02,14.79,13.81,1.43836,15.3,7.94,1795.9
63437,7.25,34.15,37.64,38.95,13.73,14.96,14.38,1.42124,15.03,6.13,1796.12
63440,7.49,35.92,38.52,40.41,13.47,15.1,14.65,1.43584,14.49,6.26,1796.27
63441,7.58,36.42,39.88,41.25,13.39,14.99,14.54,1.43754,14.72,6.63,1796.42
63443,8.01,36.96,40.61,42.66,13.49,15.34,14.61,1.42214,14.31,5.77,1795.78
63444,8.06,37.09,40.46,42.65,13.28,14.58,14.45,1.43614,14.82,6.67,1795.63
63445,8.02,37.52,40.8,43.2,13.63,14.8,14.38,1.43518,14.4,5.7,1796.6
63446,8.08,38.39,40.99,43.51,13.71,14.26,14.16,1.36758,13.19,3.81,1796.04
63447,8.01,38.14,40.5,43.38,13.61,13.64,14.25,1.4388,14.79,6.93,1796.22
63449,7.97,40.57,41.12,44.57,14.93,14.52,14.9,1.41456,13.43,4.52,1795.94
63450,8.23,40.26,41.06,44.15,13.46,14.01,13.9,1.44081,15.52,7.61,1795.89
63451,8.31,40.89,42.6,45.47,15.01,15.65,15.53,1.40788,13.38,3.2,1795.53
63452,8.25,41.28,43.14,46.03,14.44,15.28,14.7,1.44173,15.04,6.42,1796.45
63570,8.91,40.83,40.71,47.66,13.91,14.89,15.67,1.43011,13.89,4.88,1796.1
63577,9.81,41.42,44.1,47.95,13.65,15.95,15.37,1.41319,13.72,4.12,1796.46
63578,9.77,41.56,44.59,48.01,13.93,15.42,15.09,1.40748,13.77,4.72,1796.29
63580,10.18,43.13,45.35,48.92,13.76,14.89,14.72,1.36417,13.63,3.6,1792.21
63581,10.25,42.92,44.98,48.49,14.1,15.35,15.39,1.41591,13.43,4,1796.5
63582,10.38,43.08,45.94,48.76,13.79,15.52,15.1,1.43249,14.3,5.3,1796.74
63584,10.28,43.2,45.79,48.3,14.39,15.26,15.18,1.42367,13.65,4.31,1796.23
63586,10.48,43.61,45.82,48.91,13.78,14.72,14.7,1.43027,13.88,5.37,1797.08
63587,10.75,43.29,45.94,48.36,13.45,15.06,14.56,1.4346,14.29,5.62,1796.23
63588,10.8,43.22,46.11,48.18,13.49,15.14,14.55,1.43649,14.42,5.71,1796.84
63589,10.8,43.18,46.23,48.05,13.63,15.6,14.83,1.4052,13.6,3.8,1796.77
63590,10.71,43.13,46.24,48.05,13.31,14.59,14.19,1.42711,13.99,5.8,1796.43
63593,10.72,43.96,46.95,48.81,14.38,16.19,15.5,1.43439,13.19,3.8,1796.17
63595,10.65,44.46,47.94,49.97,14.31,16.01,15.23,1.41781,13,3.01,1796.85
63596,10.76,44.25,48.13,50,14.15,16.21,15.22,1.3947,13.24,2.96,1795.99
64149,21.02,47.44,46.7,51.48,13.03,12.56,14.15,1.43974,14.84,7.29,1796.42
64150,21.33,47.23,46.58,51.27,13.06,13.12,14.27,1.38761,14.42,4.77,1795.54
64153,21.53,49.96,47.93,53.97,13.7,13.2,14.71,1.43742,14.06,5.63,1796.72
64154,21.65,50.04,48.37,54.18,14.19,14.02,15.11,1.42524,13.33,3.38,1796.41
64155,21.7,50.7,48.84,55.59,14.52,13.9,15.26,1.42816,14.22,3.24,1796.29
64156,21.76,50.96,48.98,55.93,14.26,13.54,14.92,1.43673,13.34,4.29,1796.58
64157,21.74,51.16,49.52,56,14.34,13.89,14.99,1.42706,14.01,3.68,1796.37
64158,21.8,51.37,50.02,56.02,13.81,13.69,14.47,1.42721,13.63,4.35,1796.69
64159,21.84,51.84,50.27,56.3,14.18,14.29,15.11,1.4228,14.11,3.43,1795.77
64160,21.73,52.87,50.59,56.54,14.48,13.82,14.73,1.42054,13.25,4.14,1796.46
64161,21.77,53,50.42,56.4,14.08,13.33,14.33,1.41866,14.27,4.68,1797.09
64162,21.94,53.1,50.97,56.87,14.45,14.45,15.16,1.40845,14.17,3.41,1796.34
64163,22.1,53.56,51.83,57.26,14.73,15.07,15.55,1.38697,13.07,2.49,1796.3
64178,20.5,55.44,52.95,57.52,15.74,15.16,16.17,1.39825,13.12,1.24,1796.64
64179,20.45,56.95,53.85,58.25,15.52,15.3,15.79,1.42201,13.28,2.4,1796.75
64181,20.12,57.95,54.85,59.79,15.82,14.73,15.41,1.3821,13.02,3.08,1792.93
64200,16.71,38.18,36.29,40.32,14.18,13.58,14.38,1.43546,13.74,6.07,1796.08
64209,14,51.64,47.76,52.47,18.16,15.83,16.93,1.42112,13.49,1.78,1796.25
64210,14,54.52,49.31,53.9,17.82,15.63,16.39,1.43427,13.82,2.65,1796.3
64211,14.08,56.79,50.21,55.18,17.9,15.85,16.4,1.43401,14.14,3.33,1796.41
64212,14.02,57.9,51.37,56.4,17.72,16.1,16.48,1.43481,13.04,3.59,1796.03
64272,12.4,49.88,46.37,53.48,15.81,15.07,16.75,1.41192,13.15,1.86,1796.89
64273,12.72,49.9,46.81,53.8,14.66,14.84,15.82,1.40126,13.5,4.02,1796.34
64275,13.03,49.95,47.48,53.97,14.48,15,15.74,1.41542,13.57,4.74,1796.24
64276,13.13,50.01,48.42,54.56,14.67,15.3,15.6,1.43514,14.21,5.35,1796.64
64277,13.14,49.81,48.11,53.81,13.76,14.54,14.63,1.43888,14.52,6.95,1796.44
64278,13.38,49.98,49.2,54.2,13.94,15.12,15.1,1.43612,15.41,6.75,1796.75
64279,13.46,49.47,49.34,53.92,13.08,14.44,14.13,1.44092,14.8,8.12,1796.73
64280,13.43,48.52,49.57,53.78,12.93,14.52,14.21,1.44105,14.99,7.67,1796.65
64281,13.56,48.79,50.01,53.84,13.77,15.11,14.96,1.43992,14.51,6.55,1796.11
64282,13.68,48.44,49.72,53.79,13.18,14.26,14.46,1.43718,15.42,7.4,1796.12
64283,13.76,48,49.91,53.85,12.58,14.62,14.51,1.43945,15.36,7.76,1796.47
64284,13.6,47.82,50,53.69,12.52,14.52,14.33,1.43475,15.02,7.61,1796.19
64285,13.73,47.97,50.6,53.99,13.33,15.39,15.03,1.43599,14.3,5.88,1796.8
64286,13.67,48.16,50.97,54.2,13.34,15.12,14.81,1.42719,14.17,5,1796.28
64287,13.82,47.86,50.61,53.77,12.43,14.54,13.83,1.44014,15.57,7.82,1796.42
64288,13.92,48.13,51,54.21,13.96,15.24,15.22,1.42048,13.5,4.62,1796.24
64289,13.83,49.07,51.25,54.6,13.96,14.76,14.83,1.42758,14.34,6.11,1796.53
64290,13.73,48.84,50.86,54.08,13.43,14.2,14.12,1.43511,14.95,7.2,1796.48
64291,13.93,48.79,51.21,54.08,13.76,15.37,14.81,1.43923,14.57,6.1,1796.31
64292,13.8,48.81,51.27,54.15,13.69,15.18,14.84,1.43795,14.35,6.45,1796.25
64293,13.64,49.93,52.44,54.91,14.28,15.4,15.03,1.41014,13.4,3.81,1796.77
64294,13.7,50.07,51.95,55.11,14.46,14.75,14.95,1.42571,13.82,4.72,1795.84
64295,13.54,50.15,51.34,54.95,14.48,14.58,14.81,1.43216,13.79,4.47,1796.38
64297,13.43,50.14,51.3,54.38,14.2,15.26,14.83,1.42032,13.67,4.44,1797.01
64303,12.84,50.83,51.72,55.42,14.37,14.5,14.79,1.38914,13.24,4.42,1796.94
64409,2.2,41.71,40.98,48.88,15.51,16.13,17.72,1.42813,13.27,4.01,1796.54
64410,2.54,42.7,43.21,50.36,15.12,16.83,17.44,1.43238,13.91,4.31,1797.02
64411,2.8,41.11,43.06,49.52,13.43,15.95,15.97,1.44061,14.45,6.76,1796.12
64413,3.15,41.13,43.69,49.77,14.08,15.65,16.13,1.41122,13.47,4.13,1796.58
64414,3.34,41,43.17,49.38,13.72,14.28,15.42,1.44059,14.49,6.47,1796.98
64415,3.57,40.88,42.83,48.66,14.19,15.44,15.79,1.40056,13.78,4.83,1796.46
64416,3.6,41.09,43.58,49.02,13.96,15.38,15.59,1.42466,14.1,5.48,1796.47
64419,4.45,40.48,43.17,47.25,13.65,14.85,14.83,1.43779,15.6,7.57,1796.18
64420,4.47,40.14,42.06,46.81,13.03,13.94,13.98,1.44064,15.76,8.77,1796.34
64421,4.58,40.24,42.63,46.67,13.82,15.22,14.9,1.43668,14.72,6.68,1796.45
64422,4.6,40.9,43.49,47.11,14.32,15.61,15.44,1.43394,14.52,5.1,1796.62
64423,4.68,40.96,43.27,47.09,13.61,14.26,14.3,1.43687,14.78,7.01,1796.74
64424,4.78,40.78,43.24,46.86,13.5,15.18,14.47,1.44024,14.84,6.34,1796.45
64425,4.81,40.97,43.82,47.07,14.68,15.94,15.71,1.44041,13.27,4.35,1796.56
64426,4.91,41.16,43.94,47.12,14.35,15.07,15.02,1.34189,13.12,2.61,1794.2
64427,5.14,41.29,43.98,47.02,14.3,15.49,15,1.38058,13.78,4.02,1795.15
64428,5.34,42.25,44.89,47.27,14.91,15.89,15.57,1.4201,13.58,3.93,1796.61
64430,5.54,43.08,45.64,47.71,15.43,16.23,16.09,1.43005,13.36,4.23,1795.93
64432,5.91,43.25,44.84,47.49,13.8,14.43,14.43,1.43763,15.89,8.49,1795.87
64433,6.04,42.96,45.55,47.43,13.76,15.59,14.84,1.43628,15.39,7.3,1796.45
64434,6.2,42.1,45.01,47.02,13.49,15.42,14.5,1.41095,14.83,5.85,1796.27
64460,6.04,11.96,10.3,14.19,13.44,12.91,13.86,1.44062,15.25,9.37,1795.7
64463,7.74,19.59,18.69,22.37,12.85,13.83,13.99,1.44016,15.13,8.48,1795.74
64465,8,23.25,22.52,26.9,13.41,13.98,14.24,1.43633,14.16,7.29,1796.05
64466,8.14,26.08,25.55,29.72,14.74,14.74,15.18,1.43413,13.12,4.91,1796.26
64863,10.03,45.3,44.89,51.46,15.09,15.52,16.49,1.4089,13.17,2.53,1796.02
64868,10.22,44.97,45.21,50.34,14.04,14.35,14.91,1.38677,13.22,3.07,1796.83
64869,10.24,45.67,46.06,50.84,14.49,15.46,15.75,1.41317,13.83,4.08,1796.24
64871,10.16,45.81,46.85,50.85,14.26,15.86,15.53,1.43772,14.17,4.09,1797.05
64872,10.02,45.9,47.3,50.98,14.39,15.63,15.35,1.41265,13.28,3.92,1796.32
64880,9.62,45.71,46.21,49.79,13.41,14.3,14.18,1.42235,14.19,6.05,1796.56
64881,9.41,45.28,46.17,49.58,13.77,14.53,14.83,1.41703,14.5,5.54,1795.61
64883,8.97,45.84,47.03,50.24,14.76,16.45,15.92,1.40445,13.38,2.61,1796.26
64885,8.57,46.06,46.95,50.25,14.04,14.8,14.8,1.34039,13.02,3.52,1793.09
64887,9.08,44.93,46.86,49.63,12.93,14.23,14.01,1.43719,14.76,8.13,1796.74
64888,8.81,44.02,46.17,48.64,12.88,14.15,14.25,1.43994,15.46,7.89,1796.7
64889,8.64,44.32,46.76,49.54,13.53,14.79,14.37,1.44077,15.11,7.4,1796.75
64890,8.54,44.63,46.88,49.1,14.15,15.62,15.13,1.42241,14.13,4.78,1796.45
64892,8.14,44.18,47.25,49.11,13.41,15.63,14.56,1.44165,14.95,6.35,1796.77
64893,8.07,44.5,47.97,49.41,13.61,15.85,14.53,1.43164,14.74,6.24,1796.16
64894,7.91,45.08,48.85,49.82,14.57,16.67,15.58,1.42327,13.2,3.88,1796.58
64895,7.72,45.83,48.71,50.06,14.36,15.75,15.08,1.44136,14.11,5.97,1796.96
64896,7.7,45.81,49.54,50.28,14.75,17.01,15.81,1.44025,14.09,5.09,1796.11
64897,7.63,45.91,49.76,50.35,14.08,15.96,14.81,1.42836,14.46,5.22,1796.46
64985,8.2,34.24,33.73,45.5,13.6,13.51,18.65,1.41414,14.86,8.49,1796.77
64986,8.91,35.49,33.94,45.95,14.09,13.35,17,1.43991,14.66,7.68,1796.03
64987,9.45,36.15,34.2,46.28,13.71,12.94,16.27,1.44209,15.56,8.25,1796.36
64988,9.81,36.1,34.48,46.28,12.85,13.02,15.76,1.44086,15.62,7.72,1796.54
64989,9.98,36.44,35.84,46.34,12.88,13.35,15.23,1.44097,15.27,6.98,1796.82
64990,10.35,36.86,36.66,46.8,13.35,14.56,16.27,1.43952,15.23,6.44,1796.13
64991,10.53,37.45,37.69,47.63,14.26,15.11,16.82,1.43509,13.91,4.95,1796.36
64992,10.73,38.2,38.81,47.99,14.26,15.18,16.28,1.43485,14.4,4.09,1796.62
64993,10.87,38.02,39.67,47.66,12.63,14.62,14.81,1.44057,14.58,7.77,1796.83
64994,11.16,38.08,40.49,47.52,12.93,15.34,14.96,1.40623,14.31,5.89,1796.16
64995,11.4,38.51,41.4,47.57,13.38,15.51,15.32,1.42723,13.86,5.48,1796.27
64996,11.58,39.65,41.7,47.74,13.37,14.69,14.85,1.44109,14.6,6.52,1796.7
64997,12.07,39.94,42.88,47.87,14.18,16.19,15.92,1.43237,14.33,3.91,1795.85
65002,12.71,38.31,42.53,46.32,12.4,14.89,14.23,1.44169,15.11,7.55,1795.55
65003,12.86,38.36,42.32,46.08,12.13,13.63,13.55,1.44073,15.69,9.07,1796.19
65004,12.86,39.73,42.4,46.63,13.7,14.16,14.79,1.43925,14.67,6.6,1795.42
65005,13.04,40.93,43.21,47.25,14.23,14.98,15.32,1.41524,13.62,3.77,1795.87
65006,13.13,41.39,43.77,47.56,13.76,14.61,14.5,1.41084,14.8,5.45,1796.07
65007,13.48,41.48,43.94,47.29,13.11,14.51,13.84,1.37133,14.15,5.24,1795.85
65008,13.47,42.29,45.91,47.67,14.27,16.43,15.18,1.39787,13.61,3.93,1795.59
65009,13.6,42.86,46.41,47.64,13.42,15.3,14.15,1.34502,13.26,3.25,1795.83
65014,14.23,43.53,46.18,47.84,13.42,14.83,14.26,1.43671,13.92,6.11,1795.36
65015,14.26,44.14,46.81,48.77,13.91,15.02,14.66,1.35807,13.17,2.6,1796.6
65016,14.42,44.12,46.43,48.2,14.28,14.71,14.54,1.42645,13.53,4.91,1796.09
65025,15.39,46.69,46.8,49.88,14.58,14.87,14.94,1.35033,13.18,1.99,1796.12
65028,15.64,47.49,47.95,50.92,14.94,15.64,15.35,1.3973,13.37,2.67,1796.24
65029,15.83,47.4,47.83,50.84,14.82,15.11,15.15,1.41368,13.02,3.68,1796.05
65038,15.32,48.41,48.21,51.61,14.81,15.45,15.28,1.42921,13.14,3.7,1795.96
65175,12.75,46.01,45.91,50.91,15.35,16.18,17.05,1.41118,13.49,2.49,1796.25
65271,9.45,42.03,40.84,50.21,14.58,15.2,16.56,1.38255,13.99,3.02,1796.23
65276,10.37,43.09,43.73,50.55,14.3,15.52,16.25,1.42152,13.71,4.23,1796.35
65278,10.66,43.87,44.25,50.8,14.14,15.06,15.63,1.41112,13.4,3.94,1796.45
65279,10.99,44.2,45.79,51.63,14.97,16.21,16.62,1.4124,13.77,3.37,1796.44
65280,11.15,44.04,46.3,51.79,13.5,15.58,15.46,1.43529,14.33,5.66,1797.06
65281,11.55,43.9,46.76,51.33,13.6,16.3,15.62,1.43798,14.66,5.61,1795.76
